prompt_idx,chunk_size,e2e_time,prompt_tokens
1,100,11.886590862646699,4094
1,100,12.447964424267411,4094
1,100,13.317083320580423,4094
1,100,14.176371522247791,4094
1,200,3.4758098302409053,4094
1,200,12.219590007327497,4094
1,200,13.044339654967189,4094
1,200,13.458492466248572,4094
1,300,12.302780416794121,4094
1,300,12.585480207577348,4094
1,300,12.865625577047467,4094
1,300,13.123048258945346,4094
1,400,4.057727720588446,4094
1,400,12.328009556047618,4094
1,400,12.523798528127372,4094
1,400,12.93624067120254,4094
1,500,3.085934308357537,4094
1,500,12.392123186029494,4094
1,500,12.548963028006256,4094
1,500,12.702890050597489,4094
1,600,9.316144437529147,4094
1,600,12.498785052448511,4094
1,600,12.635418611578643,4094
1,600,12.770035982131958,4094
1,700,12.532998205162585,4094
1,700,12.649140856228769,4094
1,700,12.765308724716306,4094
1,700,12.879433326423168,4094
1,800,12.443145502358675,4094
1,800,12.537452933378518,4094
1,800,12.633007787168026,4094
1,800,12.726389730349183,4094
1,900,12.491447886452079,4094
1,900,12.584779584780335,4094
1,900,12.658848433755338,4094
1,900,12.7511948607862,4094
1,1000,12.549683205783367,4094
1,1000,12.62336294259876,4094
1,1000,12.699123828671873,4094
1,1000,12.77292135823518,4094
